Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.96801872074883,0.9402866242038217,0.6862289366647298,0.7934161907961035
SVM,0.960374414976599,0.9687194525904204,0.5758280069726903,0.7223032069970845
KNN,0.9580863234529381,0.8828451882845189,0.6130156885531668,0.7235939643347051
Logistic Regression,0.9570982839313572,0.8544303797468354,0.6275421266705404,0.7236180904522613
Decision Tree,0.948361934477379,0.7015503875968992,0.7361998837884951,0.718457612702013
Naive Bayes,0.26760270410816434,0.10879058287450162,0.9988378849506101,0.19621047825590687
